ID	timestamp	Self_Esteem1	Self_Esteem2	Self_Esteem3
1	2022-04-18 19:18:00	2	3	2
2	2022-04-18 19:19:00	5	1	1
3	2022-04-18 19:25:00	3	3	1
4	2022-04-18 19:29:00	5	1	2
5	2022-04-18 19:33:00	3	3	3
6	2022-04-18 19:33:00	4	4	3
7	2022-04-18 19:36:00	5	3	4
8	2022-04-18 19:36:00	1	3	1
9	2022-04-18 19:39:00	1	3	1
10	2022-04-18 19:41:00	1	1	1
11	2022-04-18 19:44:00	4	2	3
12	2022-04-18 19:44:00	2	2	3
13	2022-04-18 19:56:00	4	2	1
14	2022-04-18 19:57:00	2	3	2
15	2022-04-18 19:59:00	5	5	5
16	2022-04-18 20:15:00	3	2	2
17	2022-04-18 20:15:00	1	3	1
18	2022-04-18 20:22:00	2	3	1
19	2022-04-18 20:28:00	1	5	3
20	2022-04-18 20:31:00	2	2	1
21	2022-04-18 20:32:00	5	2	1
22	2022-04-18 20:33:00	4	3	3
23	2022-04-18 20:35:00	3	2	3
24	2022-04-18 20:38:00	4	4	4
25	2022-04-18 20:38:00	2	3	3
26	2022-04-18 20:40:00	4	4	4
27	2022-04-18 20:42:00	4	3	2
28	2022-04-18 20:45:00	4	4	3
29	2022-04-18 20:49:00	5	2	3
30	2022-04-18 20:50:00	2	2	2
31	2022-04-18 20:52:00	2	3	3
32	2022-04-18 20:53:00	3	2	4
33	2022-04-18 20:54:00	2	3	1
34	2022-04-18 20:55:00	1	3	1
35	2022-04-18 20:55:00	5	3	4
36	2022-04-18 21:02:00	1	3	1
37	2022-04-18 21:22:00	2	3	3
38	2022-04-18 21:24:00	1	3	1
39	2022-04-18 21:32:00	2	1	2
40	2022-04-18 21:42:00	3	4	2
41	2022-04-18 21:48:00	5	2	1
42	2022-04-18 21:49:00	1	3	3
43	2022-04-18 21:50:00	3	3	3
44	2022-04-18 21:55:00	3	4	3
45	2022-04-18 22:04:00	2	3	1
46	2022-04-18 22:07:00	2	2	1
47	2022-04-18 22:11:00	1	3	3
48	2022-04-18 22:20:00	2	2	1
49	2022-04-18 22:23:00	5	5	5
50	2022-04-18 22:30:00	1	3	1
51	2022-04-18 22:35:00	1	3	1
52	2022-04-18 22:39:00	3	3	4
53	2022-04-18 22:42:00	1	3	1
