"Adults age 18 and older with any mental illness who did not receive treatment
",,,,
Adults with any mental illness who did not receive treatment,,,,
time_period,state,population,cohort,point_estimate
2009-11,United States,all,All,59
2012-14,United States,all,All,57
2013-15,United States,all,All,56
2014-16,United States,all,All,56
2016-17,United States,all,All,57
2017-18,United States,all,All,57
2018-19,United States,all,All,56
2019-20,United States,all,All,55
2009-11,Alabama,all,All,59
2012-14,Alabama,all,All,54
2013-15,Alabama,all,All,54
2014-16,Alabama,all,All,59
2016-17,Alabama,all,All,64
2017-18,Alabama,all,All,57
2018-19,Alabama,all,All,57
2019-20,Alabama,all,All,62
2009-11,Alaska,all,All,67
2012-14,Alaska,all,All,61
2013-15,Alaska,all,All,64
2014-16,Alaska,all,All,62
2016-17,Alaska,all,All,62
2017-18,Alaska,all,All,66
2018-19,Alaska,all,All,59
2019-20,Alaska,all,All,55
2009-11,Arizona,all,All,59
2012-14,Arizona,all,All,59
2013-15,Arizona,all,All,59
2014-16,Arizona,all,All,63
2016-17,Arizona,all,All,61
2017-18,Arizona,all,All,53
2018-19,Arizona,all,All,57
2019-20,Arizona,all,All,64
2009-11,Arkansas,all,All,58
2012-14,Arkansas,all,All,51
2013-15,Arkansas,all,All,55
2014-16,Arkansas,all,All,57
2016-17,Arkansas,all,All,53
2017-18,Arkansas,all,All,48
2018-19,Arkansas,all,All,50
2019-20,Arkansas,all,All,46
2009-11,California,all,All,64
2012-14,California,all,All,62
2013-15,California,all,All,61
2014-16,California,all,All,62
2016-17,California,all,All,65
2017-18,California,all,All,65
2018-19,California,all,All,62
2019-20,California,all,All,63
2009-11,Colorado,all,All,55
2012-14,Colorado,all,All,62
2013-15,Colorado,all,All,57
2014-16,Colorado,all,All,54
2016-17,Colorado,all,All,49
2017-18,Colorado,all,All,51
2018-19,Colorado,all,All,54
2019-20,Colorado,all,All,56
2009-11,Connecticut,all,All,58
2012-14,Connecticut,all,All,50
2013-15,Connecticut,all,All,53
2014-16,Connecticut,all,All,54
2016-17,Connecticut,all,All,56
2017-18,Connecticut,all,All,54
2018-19,Connecticut,all,All,54
2019-20,Connecticut,all,All,56
2009-11,Delaware,all,All,58
2012-14,Delaware,all,All,52
2013-15,Delaware,all,All,51
2014-16,Delaware,all,All,48
2016-17,Delaware,all,All,48
2017-18,Delaware,all,All,50
2018-19,Delaware,all,All,54
2019-20,Delaware,all,All,48
2009-11,District of Columbia,all,All,65
2012-14,District of Columbia,all,All,55
2013-15,District of Columbia,all,All,59
2014-16,District of Columbia,all,All,58
2016-17,District of Columbia,all,All,55
2017-18,District of Columbia,all,All,52
2018-19,District of Columbia,all,All,55
2019-20,District of Columbia,all,All,56
2009-11,Florida,all,All,63
2012-14,Florida,all,All,62
2013-15,Florida,all,All,62
2014-16,Florida,all,All,61
2016-17,Florida,all,All,59
2017-18,Florida,all,All,63
2018-19,Florida,all,All,64
2019-20,Florida,all,All,58
2009-11,Georgia,all,All,59
2012-14,Georgia,all,All,62
2013-15,Georgia,all,All,57
