time_period,state,population,cohort,point_estimate
2009-11,United States,all,All,21
2012-14,United States,all,All,20
2013-15,United States,all,All,20
2014-16,United States,all,All,21
2016-17,United States,all,All,22
2017-18,United States,all,All,24
2018-19,United States,all,All,25
2019-20,United States,all,All,28
2009-11,Alabama,all,All,21
2012-14,Alabama,all,All,19
2013-15,Alabama,all,All,20
2014-16,Alabama,all,All,17
2016-17,Alabama,all,All,14
2017-18,Alabama,all,All,19
2018-19,Alabama,all,All,27
2019-20,Alabama,all,All,35
2009-11,Alaska,all,All,22
2012-14,Alaska,all,All,17
2013-15,Alaska,all,All,19
2014-16,Alaska,all,All,18
2016-17,Alaska,all,All,22
2017-18,Alaska,all,All,24
2018-19,Alaska,all,All,24
2019-20,Alaska,all,All,30
2009-11,Arizona,all,All,30
2012-14,Arizona,all,All,19
2013-15,Arizona,all,All,21
2014-16,Arizona,all,All,21
2016-17,Arizona,all,All,21
2017-18,Arizona,all,All,26
2018-19,Arizona,all,All,28
2019-20,Arizona,all,All,36
2009-11,Arkansas,all,All,28
2012-14,Arkansas,all,All,19
2013-15,Arkansas,all,All,19
2014-16,Arkansas,all,All,23
2016-17,Arkansas,all,All,25
2017-18,Arkansas,all,All,26
2018-19,Arkansas,all,All,25
2019-20,Arkansas,all,All,29
2009-11,California,all,All,21
2012-14,California,all,All,17
2013-15,California,all,All,18
2014-16,California,all,All,20
2016-17,California,all,All,22
2017-18,California,all,All,23
2018-19,California,all,All,24
2019-20,California,all,All,28
2009-11,Colorado,all,All,23
2012-14,Colorado,all,All,21
2013-15,Colorado,all,All,22
2014-16,Colorado,all,All,22
2016-17,Colorado,all,All,22
2017-18,Colorado,all,All,28
2018-19,Colorado,all,All,32
2019-20,Colorado,all,All,34
2009-11,Connecticut,all,All,25
2012-14,Connecticut,all,All,20
2013-15,Connecticut,all,All,22
2014-16,Connecticut,all,All,21
2016-17,Connecticut,all,All,23
2017-18,Connecticut,all,All,25
2018-19,Connecticut,all,All,24
2019-20,Connecticut,all,All,27
2009-11,Delaware,all,All,16
2012-14,Delaware,all,All,20
2013-15,Delaware,all,All,17
2014-16,Delaware,all,All,21
2016-17,Delaware,all,All,22
2017-18,Delaware,all,All,23
2018-19,Delaware,all,All,28
2019-20,Delaware,all,All,31
2009-11,District of Columbia,all,All,24
2012-14,District of Columbia,all,All,26
2013-15,District of Columbia,all,All,25
2014-16,District of Columbia,all,All,26
2016-17,District of Columbia,all,All,25
2017-18,District of Columbia,all,All,29
2018-19,District of Columbia,all,All,37
2019-20,District of Columbia,all,All,32
2009-11,Florida,all,All,20
2012-14,Florida,all,All,19
2013-15,Florida,all,All,18
2014-16,Florida,all,All,19
2016-17,Florida,all,All,22
2017-18,Florida,all,All,22
2018-19,Florida,all,All,22
2019-20,Florida,all,All,29
2009-11,Georgia,all,All,20
2012-14,Georgia,all,All,20
2013-15,Georgia,all,All,19
2014-16,Georgia,all,All,21
2016-17,Georgia,all,All,23
2017-18,Georgia,all,All,23
2018-19,Georgia,all,All,24
2019-20,Georgia,all,All,29
2009-11,Hawaii,all,All,14
2012-14,Hawaii,all,All,14
2013-15,Hawaii,all,All,14
2014-16,Hawaii,all,All,16
2016-17,Hawaii,all,All,15
2017-18,Hawaii,all,All,12
2018-19,Hawaii,all,All,15
2019-20,Hawaii,all,All,20
2009-11,Idaho,all,All,23
2012-14,Idaho,all,All,25
2013-15,Idaho,all,All,25
2014-16,Idaho,all,All,25
2016-17,Idaho,all,All,22
2017-18,Idaho,all,All,22
2018-19,Idaho,all,All,29
2019-20,Idaho,all,All,32
2009-11,Illinois,all,All,22
2012-14,Illinois,all,All,22
2013-15,Illinois,all,All,21
2014-16,Illinois,all,All,22
