"Youth ages 12–17 with a major depressive episode who did not receive mental health services
"
"Youth with depression who did not receive mental health services"
time_period,state,population,cohort,point_estimate
2019-20,"United States",all,All,60
2019-20,Alabama,all,All,54
2019-20,Alaska,all,All,56
2019-20,Arizona,all,All,56
2019-20,Arkansas,all,All,55
2019-20,California,all,All,70
2019-20,Colorado,all,All,34
2019-20,Connecticut,all,All,43
2019-20,Delaware,all,All,48
2019-20,"District of Columbia",all,All,33
2019-20,Florida,all,All,62
2019-20,Georgia,all,All,67
2019-20,Hawaii,all,All,75
2019-20,Idaho,all,All,48
2019-20,Illinois,all,All,40
2019-20,Indiana,all,All,56
2019-20,Iowa,all,All,57
2019-20,Kansas,all,All,57
2019-20,Kentucky,all,All,75
2019-20,Louisiana,all,All,53
2019-20,Maine,all,All,50
2019-20,Maryland,all,All,59
2019-20,Massachusetts,all,All,64
2019-20,Michigan,all,All,60
2019-20,Minnesota,all,All,57
2019-20,Mississippi,all,All,55
2019-20,Missouri,all,All,65
2019-20,Montana,all,All,37
2019-20,Nebraska,all,All,64
2019-20,Nevada,all,All,51
2019-20,"New Hampshire",all,All,36
2019-20,"New Jersey",all,All,54
2019-20,"New Mexico",all,All,38
2019-20,"New York",all,All,53
2019-20,"North Carolina",all,All,62
2019-20,"North Dakota",all,All,45
2019-20,Ohio,all,All,54
2019-20,Oklahoma,all,All,57
2019-20,Oregon,all,All,64
2019-20,Pennsylvania,all,All,55
2019-20,"Rhode Island",all,All,62
2019-20,"South Carolina",all,All,77
2019-20,"South Dakota",all,All,43
2019-20,Tennessee,all,All,71
2019-20,Texas,all,All,75
2019-20,Utah,all,All,44
2019-20,Vermont,all,All,51
2019-20,Virginia,all,All,60
2019-20,Washington,all,All,58
2019-20,"West Virginia",all,All,69
2019-20,Wisconsin,all,All,53
2019-20,Wyoming,all,All,50
