time_period,state,population,cohort,point_estimate
2016-17,United States,all,All,80
2017-18,United States,all,All,79.7
2018-19,United States,all,All,82.2
2019-20,United States,all,All,81.3
2020-21,United States,all,All,80.1
2016-17,Alabama,all,All,85.2
2017-18,Alabama,all,All,87.6
2018-19,Alabama,all,All,90.2
2019-20,Alabama,all,All,88.8
2020-21,Alabama,all,All,78.1
2016-17,Alaska,all,All,83.9
2017-18,Alaska,all,All,88.5
2018-19,Alaska,all,All,82.7
2019-20,Alaska,all,All,78.4
2020-21,Alaska,all,All,73
2016-17,Arizona,all,All,76.8
2017-18,Arizona,all,All,79.6
2018-19,Arizona,all,All,87
2019-20,Arizona,all,All,84.4
2020-21,Arizona,all,All,78.1
2016-17,Arkansas,all,All,77.1
2017-18,Arkansas,all,All,78.1
2018-19,Arkansas,all,All,87
2019-20,Arkansas,all,All,84.2
2020-21,Arkansas,all,All,84.4
2016-17,California,all,All,79.9
2017-18,California,all,All,73.2
2018-19,California,all,All,79.7
2019-20,California,all,All,81.8
2020-21,California,all,All,78.8
2016-17,Colorado,all,All,78.9
2017-18,Colorado,all,All,86.7
2018-19,Colorado,all,All,86
2019-20,Colorado,all,All,81.3
2020-21,Colorado,all,All,79.4
2016-17,Connecticut,all,All,90.1
2017-18,Connecticut,all,All,88.5
2018-19,Connecticut,all,All,86.9
2019-20,Connecticut,all,All,90.3
2020-21,Connecticut,all,All,84.7
2016-17,Delaware,all,All,83.7
2017-18,Delaware,all,All,79
2018-19,Delaware,all,All,85.1
2019-20,Delaware,all,All,82.9
2020-21,Delaware,all,All,79.2
2016-17,District of Columbia,all,All,87
2017-18,District of Columbia,all,All,83.6
2018-19,District of Columbia,all,All,71.3
2019-20,District of Columbia,all,All,74.8
2020-21,District of Columbia,all,All,75.4
2016-17,Florida,all,All,75
2017-18,Florida,all,All,77.9
2018-19,Florida,all,All,79.8
2019-20,Florida,all,All,71.3
2020-21,Florida,all,All,71
2016-17,Georgia,all,All,67.5
2017-18,Georgia,all,All,74
2018-19,Georgia,all,All,79.1
2019-20,Georgia,all,All,82.1
2020-21,Georgia,all,All,81.9
2016-17,Hawaii,all,All,83.5
2017-18,Hawaii,all,All,89.9
2018-19,Hawaii,all,All,90.1
2019-20,Hawaii,all,All,78.7
2020-21,Hawaii,all,All,75
2016-17,Idaho,all,All,86.9
2017-18,Idaho,all,All,88.2
2018-19,Idaho,all,All,86
2019-20,Idaho,all,All,83.8
2020-21,Idaho,all,All,80.4
2016-17,Illinois,all,All,86.2
2017-18,Illinois,all,All,83.1
2018-19,Illinois,all,All,84.9
2019-20,Illinois,all,All,86.2
2020-21,Illinois,all,All,79.3
2016-17,Indiana,all,All,87.8
2017-18,Indiana,all,All,88.4
2018-19,Indiana,all,All,86.2
2019-20,Indiana,all,All,80.6
2020-21,Indiana,all,All,78.1
2016-17,Iowa,all,All,91.9
2017-18,Iowa,all,All,88.9
2018-19,Iowa,all,All,83.7
2019-20,Iowa,all,All,81.9
2020-21,Iowa,all,All,83.4
2016-17,Kansas,all,All,83.2
2017-18,Kansas,all,All,85.4
2018-19,Kansas,all,All,83
2019-20,Kansas,all,All,75.3
2020-21,Kansas,all,All,79.4
2016-17,Kentucky,all,All,82.2
2017-18,Kentucky,all,All,83.9
2018-19,Kentucky,all,All,75.1
2019-20,Kentucky,all,All,76.2
2020-21,Kentucky,all,All,85.7
2016-17,Louisiana,all,All,74.1
2017-18,Louisiana,all,All,76.3
2018-19,Louisiana,all,All,77.7
2019-20,Louisiana,all,All,77.9
2020-21,Louisiana,all,All,80.8
2016-17,Maine,all,All,86.5
2017-18,Maine,all,All,86.3
2018-19,Maine,all,All,86.2
2019-20,Maine,all,All,85.8
2020-21,Maine,all,All,85.6
2016-17,Maryland,all,All,83.8
2017-18,Maryland,all,All,80.5
2018-19,Maryland,all,All,83.5
2019-20,Maryland,all,All,81.7
2020-21,Maryland,all,All,82.8
2016-17,Massachusetts,all,All,88.1
2017-18,Massachusetts,all,All,73.1
2018-19,Massachusetts,all,All,68.2
2019-20,Massachusetts,all,All,79.1
2020-21,Massachusetts,all,All,79.3
2016-17,Michigan,all,All,91.3
2017-18,Michigan,all,All,86.5
2018-19,Michigan,all,All,82.3
2019-20,Michigan,all,All,83.8
2020-21,Michigan,all,All,83.7
2016-17,Minnesota,all,All,89
2017-18,Minnesota,all,All,85.9
2018-19,Minnesota,all,All,85.7
2019-20,Minnesota,all,All,84.4
